n,A1,A2,A3,c4,B3,B4,B5,B6,d2,d3,D1,D2,D3,D4,R_left,R_right
2,2.121,1.88,2.659,0.798,0.0,3.267,0.0,2.606,1.128,0.853,0.0,3.686,0.0,3.267,0.002,4.533
3,1.732,1.023,1.954,0.886,0.0,2.568,0.0,2.276,1.693,0.888,0.0,4.358,0.0,2.575,0.07,4.95
4,1.5,0.729,1.628,0.921,0.0,2.266,0.0,2.088,2.059,0.88,0.0,4.698,0.0,2.282,0.221,5.2
5,1.342,0.577,1.427,0.94,0.0,2.089,0.0,1.964,2.326,0.864,0.0,4.918,0.0,2.114,0.397,5.377
6,1.225,0.483,1.287,0.952,0.03,1.97,0.029,1.874,2.534,0.848,0.0,5.079,0.0,2.004,0.569,5.515
7,1.134,0.419,1.182,0.959,0.118,1.882,0.113,1.806,2.704,0.833,0.205,5.204,0.076,1.924,0.729,5.627
8,1.061,0.373,1.099,0.965,0.185,1.815,0.179,1.751,2.847,0.82,0.388,5.307,0.136,1.864,0.874,5.721
9,1.0,0.337,1.032,0.969,0.239,1.761,0.232,1.707,2.97,0.808,0.547,5.394,0.184,1.816,1.006,5.803
10,0.949,0.308,0.975,0.973,0.284,1.716,0.276,1.669,3.078,0.797,0.686,5.469,0.223,1.777,1.126,5.874
11,0.905,0.285,0.927,0.975,0.321,1.679,0.313,1.637,3.173,0.787,0.811,5.535,0.256,1.744,1.236,5.938
12,0.866,0.266,0.886,0.978,0.354,1.646,0.346,1.61,3.258,0.778,0.923,5.594,0.283,1.717,1.336,5.995
13,0.832,0.249,0.85,0.979,0.382,1.618,0.374,1.585,3.336,0.77,1.025,5.647,0.307,1.693,1.428,6.047
14,0.802,0.235,0.817,0.981,0.406,1.594,0.399,1.563,3.407,0.763,1.118,5.696,0.328,1.672,1.513,6.095
15,0.775,0.223,0.789,0.982,0.428,1.572,0.421,1.544,3.472,0.756,1.203,5.74,0.347,1.653,1.592,6.139
16,0.75,0.212,0.763,0.983,0.448,1.552,0.44,1.526,3.532,0.75,1.282,5.782,0.363,1.637,1.666,6.179
17,0.728,0.203,0.739,0.985,0.466,1.534,0.458,1.511,3.588,0.744,1.356,5.82,0.378,1.622,1.735,6.217
18,0.707,0.194,0.718,0.985,0.482,1.518,0.475,1.496,3.64,0.739,1.424,5.856,0.391,1.609,1.8,6.253
19,0.688,0.187,0.698,0.986,0.497,1.503,0.49,1.483,3.689,0.733,1.489,5.889,0.404,1.596,1.861,6.286
20,0.671,0.18,0.68,0.987,0.51,1.49,0.504,1.47,3.735,0.729,1.549,5.921,0.415,1.585,1.918,6.318
21,0.655,0.173,0.663,0.988,0.523,1.477,0.516,1.459,3.778,0.724,1.606,5.951,0.425,1.575,1.972,6.348
22,0.64,0.167,0.647,0.988,0.534,1.466,0.528,1.448,3.819,0.72,1.66,5.979,0.435,1.565,2.024,6.376
23,0.626,0.162,0.633,0.989,0.545,1.455,0.539,1.438,3.858,0.716,1.711,6.006,0.443,1.557,2.073,6.403
24,0.612,0.157,0.619,0.989,0.555,1.445,0.549,1.429,3.895,0.712,1.759,6.032,0.452,1.548,2.12,6.428
25,0.6,0.153,0.606,0.99,0.565,1.435,0.559,1.42,3.931,0.708,1.805,6.056,0.459,1.541,2.164,6.453
26,0.588,0.148,0.594,0.99,0.574,1.426,0.568,1.412,3.964,0.705,1.849,6.079,0.466,1.534,2.207,6.476
27,0.577,0.144,0.583,0.99,0.582,1.418,0.576,1.404,3.997,0.702,1.891,6.102,0.473,1.527,2.248,6.499
28,0.567,0.141,0.572,0.991,0.59,1.41,0.584,1.397,4.027,0.699,1.932,6.123,0.48,1.52,2.287,6.52
29,0.557,0.137,0.562,0.991,0.597,1.403,0.592,1.39,4.057,0.696,1.97,6.144,0.486,1.514,2.324,6.541
30,0.548,0.134,0.552,0.991,0.604,1.396,0.599,1.384,4.086,0.693,2.008,6.164,0.491,1.509,2.36,6.561
