0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3
2.97414,2.9724,2.96717,2.9584,2.94602,2.9299,2.90991,2.88584,2.85744,2.82439,2.78627,2.74258,2.69263,2.63555,2.57016,2.49483,2.4072,2.30366,2.17824,2.01958,1.79987,1.37142,,,,,,,,,
2.5054,2.50331,2.497,2.48641,2.4714,2.45179,2.4273,2.39758,2.36217,2.32044,2.27153,2.21426,2.14696,2.06703,1.97019,1.84835,1.68183,1.37859,,,,,,,,,,,,,
2.25609,2.25376,2.24674,2.23493,2.21815,2.19611,2.16842,2.13455,2.09372,2.04484,1.98628,1.91546,1.82791,1.71443,1.54939,,,,,,,,,,,,,,,,
2.09678,2.09429,2.08677,2.07408,2.05598,2.03209,2.00185,1.96446,1.9187,1.86267,1.79319,1.70416,1.58103,1.36212,,,,,,,,,,,,,,,,,
1.98427,1.98166,1.97376,1.9604,1.94126,1.91583,1.88334,1.8426,1.79171,1.72739,1.64315,1.52253,1.27774,,,,,,,,,,,,,,,,,,
1.89962,1.89691,1.88872,1.87482,1.85479,1.82798,1.79332,1.74911,1.69241,1.61748,1.5102,1.30477,,,,,,,,,,,,,,,,,,,
1.83306,1.83028,1.82185,1.80749,1.78668,1.75855,1.72168,1.67369,1.61004,1.52048,1.36839,,,,,,,,,,,,,,,,,,,,
1.77902,1.77618,1.76756,1.75279,1.73124,1.7018,1.66262,1.61036,1.53807,1.42626,,,,,,,,,,,,,,,,,,,,,
1.73405,1.73116,1.72237,1.70724,1.68497,1.6542,1.61253,1.55535,1.47189,1.31961,,,,,,,,,,,,,,,,,,,,,
1.69589,1.69296,1.68402,1.66854,1.64558,1.61342,1.56903,1.5061,1.40736,1.10629,,,,,,,,,,,,,,,,,,,,,
1.663,1.66004,1.65095,1.63515,1.61148,1.57787,1.53049,1.46069,1.33919,,,,,,,,,,,,,,,,,,,,,,
1.63427,1.63128,1.62207,1.60595,1.58156,1.54642,1.49572,1.41756,1.25563,,,,,,,,,,,,,,,,,,,,,,
1.60891,1.60589,1.59657,1.58013,1.555,1.51824,1.46383,1.37516,1.05069,,,,,,,,,,,,,,,,,,,,,,
1.58631,1.58326,1.57383,1.55708,1.53119,1.49269,1.43413,1.33167,,,,,,,,,,,,,,,,,,,,,,,
1.56601,1.56294,1.5534,1.53633,1.50965,1.46931,1.40603,1.28416,,,,,,,,,,,,,,,,,,,,,,,
1.54764,1.54455,1.53491,1.51753,1.49002,1.44771,1.37902,1.22609,,,,,,,,,,,,,,,,,,,,,,,
1.53093,1.52782,1.51807,1.50037,1.47202,1.42758,1.35262,1.12691,,,,,,,,,,,,,,,,,,,,,,,
1.51563,1.5125,1.50266,1.48462,1.45539,1.40868,1.32631,,,,,,,,,,,,,,,,,,,,,,,,
1.50156,1.49841,1.48848,1.4701,1.43995,1.39079,1.29947,,,,,,,,,,,,,,,,,,,,,,,,
1.48856,1.4854,1.47537,1.45666,1.42555,1.37374,1.27123,,,,,,,,,,,,,,,,,,,,,,,,
1.47651,1.47334,1.46321,1.44415,1.41205,1.35736,1.24019,,,,,,,,,,,,,,,,,,,,,,,,
1.4653,1.46211,1.45189,1.43246,1.39933,1.34152,1.20352,,,,,,,,,,,,,,,,,,,,,,,,
1.45484,1.45163,1.44131,1.42152,1.38731,1.32609,1.15295,,,,,,,,,,,,,,,,,,,,,,,,
1.44504,1.44182,1.4314,1.41124,1.3759,1.31092,,,,,,,,,,,,,,,,,,,,,,,,,
1.43583,1.43261,1.42208,1.40154,1.36504,1.29589,,,,,,,,,,,,,,,,,,,,,,,,,
1.42717,1.42393,1.41331,1.39238,1.35465,1.28086,,,,,,,,,,,,,,,,,,,,,,,,,
1.419,1.41575,1.40503,1.38369,1.3447,1.26565,,,,,,,,,,,,,,,,,,,,,,,,,
1.41128,1.40801,1.39719,1.37545,1.33512,1.25007,,,,,,,,,,,,,,,,,,,,,,,,,
1.40396,1.40068,1.38976,1.3676,1.32588,1.23385,,,,,,,,,,,,,,,,,,,,,,,,,
