n,Proposed Method NCMMP,Bothe NCMMP,Pearn NCMMP,Tai NCMMP,Proposed Method Millon NC,Bothe Millon NC,Pearn Millon NC,Tai Millon NC
2,0.08071603062206756,0.15687995463802906,0.3322683511580833,0.4319484925846282,80716.03062206756,156879.95463802907,332268.3511580833,431948.49258462817
3,0.03287789297431609,0.07445411346916408,0.11030628457814151,0.18186000947152703,32877.89297431609,74454.11346916409,110306.28457814151,181860.00947152704
4,0.016410549065462465,0.04022722381693411,0.04754989384892916,0.09029840895091934,16410.549065462466,40227.22381693411,47549.89384892916,90298.40895091934
5,0.009270478580134522,0.02374262395875948,0.024171358465236104,0.05008398725147156,9270.478580134522,23742.62395875948,24171.358465236102,50083.98725147156
6,0.005704160650921164,0.01494470026615935,0.013766098019496242,0.030105009886123524,5704.160650921164,14944.70026615935,13766.098019496243,30105.009886123524
7,0.0037387518045641777,0.009958800067592088,0.008453331699995736,0.019241729394839036,3738.7518045641777,9958.800067592088,8453.331699995737,19241.729394839036
8,0.002573358521838598,0.006873919677751639,0.0055551652127034945,0.012910097339217996,2573.358521838598,6873.919677751639,5555.165212703495,12910.097339217997
9,0.001841619497112701,0.0049046962057830434,0.0038339596542189547,0.00900986345397059,1841.6194971127009,4904.696205783043,3833.9596542189547,9009.86345397059
10,0.0013607298113187394,0.0036211863660078336,0.0027343382588098653,0.006496351787944388,1360.7298113187394,3621.1863660078334,2734.3382588098652,6496.351787944388
11,0.0010324765540488112,0.0027499509778916575,0.002004726363529885,0.004814418731572845,1032.4765540488113,2749.9509778916577,2004.726363529885,4814.418731572845
12,0.0008012655834044313,0.0021218145557815316,0.001517423340219315,0.0036525337081896314,801.2655834044314,2121.8145557815315,1517.423340219315,3652.5337081896314
13,0.0006339294284674057,0.0016651949118375864,0.001176235046784102,0.0028276832665847795,633.9294284674057,1665.1949118375865,1176.235046784102,2827.6832665847796
14,0.0005100070480543728,0.0013302404708945836,0.000927843923746785,0.0022280708822177697,510.00704805437283,1330.2404708945837,927.8439237467851,2228.07088221777
15,0.00041635423344610345,0.0010790569537910688,0.0007433644884131674,0.001783060730841779,416.3542334461034,1079.0569537910687,743.3644884131674,1783.0607308417789
16,0.00034431504958121195,0.0008870035285930555,0.0006039440262415319,0.0014466895202711605,344.31504958121195,887.0035285930555,603.9440262415319,1446.6895202711605
17,0.0002880357212515783,0.0007327033038593278,0.0005004793702048094,0.0011882625893584464,288.03572125157825,732.7033038593278,500.47937020480936,1188.2625893584463
18,0.00024343882937705175,0.0006153557694890122,0.0004167166221202834,0.0009868042487615192,243.43882937705175,615.3557694890121,416.7166221202834,986.8042487615191
19,0.00020765422585111715,0.0005213525269887054,0.0003507375533540191,0.0008276822641586357,207.65422585111713,521.3525269887053,350.73755335401916,827.6822641586357
20,0.00017861172939359626,0.0004450916165879004,0.00029819254705953924,0.000700498707794095,178.61172939359625,445.09161658790043,298.19254705953927,700.4987077940949
21,0.00015480627549702142,0.0003825342138703558,0.0002559288852947983,0.0005977398536616274,154.80627549702143,382.5342138703558,255.9288852947983,597.7398536616274
22,0.00013509729549698868,0.00032983605754588474,0.00022220930277927486,0.0005138928943091425,135.0972954969887,329.8360575458847,222.20930277927488,513.8928943091425
23,0.00011864311550868756,0.00029015722143288514,0.00019150822341007512,0.0004448565175472208,118.64311550868756,290.15722143288514,191.50822341007512,444.8565175472208
24,0.0001048140187620561,0.00025321534635991405,0.0001685895538949822,0.00038754041796784655,104.8140187620561,253.21534635991407,168.5895538949822,387.54041796784657
25,9.308616360215183e-05,0.0002235137618240568,0.00014834546537834115,0.0003395886499659717,93.08616360215183,223.51376182405681,148.34546537834115,339.58864996597174
26,8.308207764318176e-05,0.00019743449398346158,0.00013185075803812119,0.00029918560426667185,83.08207764318176,197.43449398346158,131.85075803812117,299.1856042666718
27,7.44947717028488e-05,0.00017676654277276604,0.0001166991991197186,0.00026491801325545516,74.4947717028488,176.76654277276606,116.6991991197186,264.91801325545515
28,6.707774577430214e-05,0.00015651769860958176,0.00010546979349501662,0.0002356755260066734,67.07774577430214,156.51769860958177,105.46979349501662,235.6755260066734
29,6.06432824654668e-05,0.0001423285720363321,9.350129626350956e-05,0.0002105782065329187,60.6432824654668,142.3285720363321,93.50129626350956,210.5782065329187
30,5.503142913942938e-05,0.00012789145800740087,8.46195220185475e-05,0.0001889230701344058,55.03142913942938,127.89145800740087,84.6195220185475,188.9230701344058
